City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sao Jose Dos Campos,BR,-23.1794,-45.8869,64.22,82,100,7.09,overcast clouds
1,Cabo San Lucas,MX,22.8909,-109.9124,86.18,74,16,13.89,few clouds
2,Nsoko,SZ,-27.0333,31.95,59.04,62,0,3.65,clear sky
3,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.12,76,25,6.58,scattered clouds
4,Busselton,AU,-33.65,115.3333,59.18,70,86,20.4,light rain
5,Saskylakh,RU,71.9167,114.0833,38.8,95,100,16.67,light rain
6,Hermanus,ZA,-34.4187,19.2345,49.8,77,5,14.61,light rain
7,Yellowknife,CA,62.456,-114.3525,70.32,37,40,6.91,scattered clouds
8,Ayan,RU,56.45,138.1667,44.06,96,100,4.5,overcast clouds
9,High Level,CA,58.5169,-117.136,69.26,44,100,1.95,overcast clouds
10,Castro,BR,-24.7911,-50.0119,59.11,57,0,3.96,clear sky
11,Barrow,US,71.2906,-156.7887,30.22,93,100,4.61,mist
12,Rikitea,PF,-23.1203,-134.9692,73.35,67,0,7.02,clear sky
13,Alofi,NU,-19.0595,-169.9187,79.07,72,100,22.03,overcast clouds
14,San Quintin,MX,30.4833,-115.95,69.03,61,5,17.63,clear sky
15,Atuona,PF,-9.8,-139.0333,77.76,71,39,18.14,scattered clouds
16,Ushuaia,AR,-54.8,-68.3,29.86,86,40,18.41,shower snow
17,Kloulklubed,PW,7.0419,134.2556,73.9,70,10,5.77,clear sky
18,Katsuura,JP,35.1333,140.3,69.82,91,100,7.58,overcast clouds
19,Bambous Virieux,MU,-20.3428,57.7575,69.22,78,13,4.92,few clouds
20,Torbay,CA,47.6666,-52.7314,61.88,71,100,18.68,overcast clouds
21,Mataura,NZ,-46.1927,168.8643,45.48,97,100,4.0,overcast clouds
22,Evensk,RU,61.95,159.2333,46.31,91,94,3.94,overcast clouds
23,Cape Town,ZA,-33.9258,18.4232,56.88,81,1,3.0,light rain
24,Vaini,TO,-21.2,-175.2,75.92,83,100,21.47,overcast clouds
25,Avarua,CK,-21.2078,-159.775,75.25,64,75,8.05,broken clouds
26,Jalu,LY,29.0331,21.5482,86.18,21,0,10.02,clear sky
27,Okhotsk,RU,59.3833,143.3,43.65,92,100,7.9,overcast clouds
28,Dikson,RU,73.5069,80.5464,29.55,93,17,11.25,few clouds
29,Belyy Yar,RU,53.6039,91.3903,55.85,82,0,6.71,clear sky
30,Bengkulu,ID,-3.8004,102.2655,75.51,90,63,3.09,broken clouds
31,San Vicente,AR,-26.6167,-54.1333,55.96,38,0,2.95,clear sky
32,Touros,BR,-5.1989,-35.4608,80.89,69,67,12.03,broken clouds
33,Puerto Escondido,MX,15.85,-97.0667,86.45,63,100,8.79,overcast clouds
34,Chabahar,IR,25.2919,60.643,83.37,87,10,4.05,clear sky
35,Constitucion,CL,-35.3333,-72.4167,55.87,56,100,9.64,overcast clouds
36,Yulara,AU,-25.2406,130.9889,59.29,36,100,7.43,overcast clouds
37,Aklavik,CA,68.2191,-135.0107,63.79,46,63,9.42,broken clouds
38,Albany,US,42.6001,-73.9662,60.3,62,91,3.0,overcast clouds
39,Kapaa,US,22.0752,-159.319,79.48,78,42,5.99,scattered clouds
40,Yumen,CN,40.2833,97.2,70.95,32,100,10.45,overcast clouds
41,Bredasdorp,ZA,-34.5322,20.0403,52.3,79,1,10.89,clear sky
